,Name,Ordinal_type,Postcode,Latitude,Longitude
526,Tottenham W Green Express,1,N15 3QR,51.58623733701881, -0.09150087833404541
527,Towcester Superstore,2,NN12 6PF,52.138621475779765, -0.9946204196330655
528,Tranmere Express,1,CH42 9JG,53.37545041447532, -3.0328399837344477
529,St Austell Tregon Express,1,PL25 4DL,50.348002400706086, -4.7823407888943965
530,Tring Superstore,2,HP23 5NB,51.79380639355496, -0.6540370469747359
531,Truro Superstore,2,TR1 2TN,50.26088713279335, -5.046933985840951
532,Turriff Superstore,2,AB53 4EN,57.537270157786125, -2.4631303361820756
533,Twyford Rd Express,1,RG10 9EH,51.477890086956165, -0.8660678640808328
534,Whiteleas Way Express,1,NE34 8HW,54.95773763510525, -1.4308837476796321
535,Uddingston Superstore,2,G71 7ET,55.816135112012546, -4.082770076057386
536,Ullapool Superstore,2,IV26 2XB,57.89697988151953, -5.162990968765371
537,Ulverston Express,1,LA12 7AZ,54.19574140202953, -3.095950484275818
538,Cranham Express,1,RM14 1XL,51.56193672604315, 0.26675171773604234
539,Ventnor High St Express,1,PO38 1LT,50.595435582861576, -1.2037390324753439
540,Verwood Express,1,BH31 7AQ,50.881204058452404, -1.8772217631340027
541,Wadebridge Superstore,2,PL27 7HW,50.516982588604996, -4.8567549884319305
542,Walkden Extra,3,M28 3BT,53.52606108451227, -2.4007144487897247
543,Cholsey Express,1,OX10 9ND,51.57530109996093, -1.1530957370996475
544,Wallington Woodcote Rd Express,1,SM6 0LY,51.358820219455346, -0.14994963076787826
545,Waltham Abbey Superstore,2,EN9 1JH,51.684723329566495, 0.002465651250531664
546,Walton Hersham Rd Express,1,KT12 1RR,51.37438332293715, -0.4061513644216985
547,Walton On The Naze Express,1,CO14 8BH,51.84841176593042, 1.2700058443715534
548,Grove Express,1,OX12 7JZ,51.60991678429439, -1.4219822330411191
549,Ware Superstore,2,SG12 9EE,51.81155682116815, -0.03153068778249235
550,Warlingham Express,1,CR9 6NA,51.309269455253855, -0.055277552595867085
551,Warminster Thornhill Rd Express,1,BA12 8EE,51.199962859093105, -2.197401076555252
552,Warton Lytham Rd Express,1,PR4 1AD,53.750994668044214, -2.8845173120498657
553,Weedon High St Express,1,NN7 4QD,52.23379932020902, -1.076741874834056
554,Wells Superstore,2,BA5 2DZ,51.20630712744594, -2.6520516053642496
555,Welshpool Superstore,2,SY21 7BL,52.658823194876796, -3.1411579050060245
556,Welwyn Express,1,AL6 9EQ,51.830629156016634, -0.21511303460544529
557,Nottingham Compton Express,1,NG2 7RS,52.91859845936324, -1.1524352431297302
558,Old Woking Rd Esso Express,1,KT14 6JA,51.33594408233719, -0.5063313245773315
559,Ely Cardiff Express,1,CF5 5TD,51.4755845006264, -3.2484896389541973
560,Broxburn Express,1,EH52 5LL,55.93319997421859, -3.486490398996407
561,West Malling Superstore,2,ME19 6NA,51.293982470285506, 0.4087945120306813
562,Beaufort House Express,1,B3 1PB,52.48267580400149, -1.9048060186130167
563,West Molesey Hurst Rd Superstore,2,KT8 1SE,51.407904, -0.3682446
564,Westbourne Poole Express,1,BH4 9DW,50.72282531185214, -1.9010639190673828
565,Leigh Park Express,1,BA13 3GL,51.25314674697241, -2.200353945597935
566,Westbury On Trym Express,1,BS9 3AD,51.492877114972586, -2.6181015372276306
567,Biggin Hill Express,1,TN16 3BB,51.30888875826916, 0.03737322986125946
568,Westhill Superstore,2,AB32 6UF,57.149512199047344, -2.2755161014035297
569,High Holborn Getgo Express,1,WC1V 6BS,51.518434059840324, -0.11253625824910074
570,Golf Links Rd Express,1,EX39 1LH,51.04213585367278, -4.235960981040989
571,Wheathampstead Express,1,AL4 8BB,51.81295950767465, -0.293334424495697
572,Whickham Express,1,NE16 4DS,54.94636491209547, -1.6781412363707204
573,Whitehaven Superstore,2,CA28 7XY,54.55288373865178, -3.587838113307953
574,Claremont Crescent Express,1,NE26 3HL,55.05443169534643, -1.4613398909568787
575,Whitworth Market Express,1,OL12 8QS,53.660738180025824, -2.1733859181404114
576,Whyteleafe Express,1,CR3 0EB,51.312084535126175, -0.08110694188455891
577,Wick Superstore,2,KW1 4QS,58.451672, -3.097806
578,Widnes Extra,3,WA8 7YT,53.36384186623725, -2.724398553436913
579,Winterton Cross Key Express,1,DN15 9RN,53.65413841070965, -0.5969675131398722
580,Witham Superstore,2,CM8 2YT,51.79922716203543, 0.6432140056494973
581,Withernsea Superstore,2,HU19 2NS,53.723927, 0.036141
582,Woburn Sands Express,1,MK17 8RQ,52.01063140151986, -0.6462958704481969
583,Wokingham Superstore,2,RG40 2NS,51.403676690619676, -0.8380474057253195
584,Wombwell Express,1,S73 0AA,53.523933306987026, -1.4002406554225888
585,Worcester Park Express,1,KT4 7NW,51.385506527402484, -0.2524595001489427
586,Workington Superstore,2,CA14 3YG,54.648185, -3.554177
587,Worksop Gateford Rd Superstore,2,S81 7AP,53.31512415634874, -1.1323708693347845
588,Manchester Swinton Express,1,M27 9RA,53.51728116888808, -2.3533174035649185
589,Wotton-Under-Edge Express,1,GL12 7BT,51.637651873069025, -2.352161433740736
590,Wroughton Express,1,SN4 9LN,51.5244346104418, -1.7939367337037004
591,Yateley Esso Express,1,GU46 7UH,51.34131853140014, -0.8196967876967847
592,Mold Superstore,2,CH7 1UB,53.167031051701414, -3.137471236912539
593,Aberdeen Holburn St Express,1,AB10 6BL,57.1380334728084, -2.1140440273754457
594,Dyce Express,1,AB21 0ET,57.2030627099285, -2.1890701353549957
595,Great Northern Rd Express,1,AB24 2AX,57.17072255149242, -2.124052047729492
596,Aberdeen North Dees Express,1,AB15 9SX,57.11722494638593, -2.177450560717389
597,Pittodrie Esso Express,1,AB24 3DF,57.16159699622922, -2.096272424187191
598,Aberdeen Union St Express,1,AB11 6DB,57.14289439322823, -2.1114091874521224
599,Aberdeen Grt Wst Express,1,AB10 6PA,57.129842523678775, -2.1392802970240155
600,Aberdeen Extra,3,AB22 8HB,57.17994201781541, -2.1455204486846924
601,Aberdeen Woodend Superstore,2,AB15 6LT,57.15046409323708, -2.171099265939802
602,Aberdeen South Superstore,2,AB12 3DN,57.13026553613793, -2.094123959541321
603,Swansea Marina Superstore,2,SA1 3RA,51.61679746903287, -3.944091796875
604,Pontarddulais Superstore,2,SA4 8TA,51.713640473522794, -4.043185868644483
605,Aberystwyth North Parade Express,1,SY23 2JN,52.4152278727625, -4.082492554079367
